"Story","Title","Result","Date","Stability","Duration (s)"
"Busquedas en dogpile","Buscar resultados relevantes","SUCCESS","2019-08-20T14:10:59.739203-05:00[America/Bogota]","0.0","31.87"
"Busquedas en dogpile","Verificar que los resultados con texto relevante al titulo","ERROR","2019-08-20T14:11:31.714018-05:00[America/Bogota]","0.0","31.51"
